Make,Model,Engine Size,Mileage,Fuel Type,Transmission,Price,Car_Age
2,0,2.6,66320,1,0,20819.294492658613,26
3,1,2.7,31127,2,1,24317.93911560689,20
3,0,1.1,134268,2,0,23496.94278916075,6
2,4,1.7,75088,2,1,17699.356990781285,26
3,2,3.9,172372,1,1,23758.786640002247,12
4,3,3.9,180786,0,1,22721.04360997124,23
3,3,2.0,31921,2,0,33749.07065768503,7
2,2,4.1,4746,0,0,32267.989022928246,17
3,0,3.7,68535,1,1,26024.54621022126,18
0,1,2.5,65350,2,0,19866.033914444622,25
1,0,3.6,181417,2,0,25112.76748295554,13
4,2,4.4,180292,1,1,26885.701902472352,11
0,2,2.6,81131,2,1,19853.79809280083,26
0,1,1.8,22063,0,0,23079.23601460086,25
2,4,4.3,117116,1,1,26526.341081820985,20
1,4,3.1,88913,1,1,24946.26993994605,17
1,1,1.4,78946,2,0,26778.048174623844,5
4,4,3.0,177043,1,0,23005.61866634597,7
2,3,2.8,134670,2,1,18367.763348682925,26
4,4,4.0,10564,2,0,36806.29194626599,14
3,4,2.9,49725,1,0,20092.42346009751,26
0,4,1.9,86134,2,1,22692.238162068115,22
4,3,3.4,105940,0,1,26651.88768130642,11
0,4,2.9,191012,0,1,21301.336928173827,12
2,3,1.8,62085,2,1,29325.596960235664,10
3,1,3.0,17862,0,0,31096.38368667561,11
2,0,3.9,10265,2,0,32783.26959298096,14
3,1,1.1,140777,0,1,19619.33951242473,16
3,0,3.2,186351,1,1,22734.554676473184,10
0,1,2.2,62471,2,1,30066.6451118404,10
2,0,2.0,91080,2,1,18822.83562553442,25
2,0,2.4,194051,2,0,17320.429502165516,14
4,2,2.2,55828,2,0,25323.63196173479,13
2,0,3.9,116884,2,1,19722.494305080218,16
4,0,2.0,108007,2,1,22203.63406434929,17
1,2,3.6,46104,1,0,27502.93292669767,24
1,4,1.3,40934,1,0,25459.000344440086,10
1,4,4.3,114420,0,0,30050.07651667699,12
2,2,3.2,6050,2,0,29958.63476812381,18
2,3,3.5,175024,0,1,20245.044948824983,17
4,0,2.0,8484,0,0,29148.868312636343,19
3,0,2.4,62648,1,0,30122.279119550163,6
4,2,1.8,59945,0,0,29623.28675967311,14
1,2,4.3,184750,1,1,23591.142061999555,9
4,3,2.7,31323,0,1,24295.578896817515,22
3,4,3.2,86332,2,0,23282.89595196669,21
2,1,3.6,94605,0,0,29388.52395735864,10
4,4,2.3,166433,1,1,21711.01196857656,16
1,2,3.4,47968,1,0,31811.732307069517,11
2,3,3.5,157591,0,1,22168.93048525096,18
4,4,2.7,9107,0,0,22252.25095286496,25
3,3,2.3,55781,1,1,19030.73705469249,22
2,4,1.8,3869,2,0,24747.071662736176,26
4,0,3.9,80983,2,0,23157.28168816858,23
0,1,3.1,158442,0,1,23986.216706491232,23
1,3,2.6,193767,0,0,26748.073236771117,5
3,3,4.3,191494,1,1,19708.418946895927,24
3,1,1.2,7971,0,1,25789.70779178422,18
3,3,4.0,96805,0,1,33467.70353011093,5
1,3,4.5,25651,1,0,30828.316109272462,15
4,4,4.1,56974,1,0,25348.2945923593,17
2,4,3.8,23446,0,0,24826.32974696832,25
4,1,2.3,169180,2,1,20104.287551612528,16
2,0,1.8,3823,0,0,25613.21539754382,17
3,3,3.6,144526,2,0,26901.532900080103,5
4,0,2.1,135004,2,0,17453.37937007505,21
3,1,1.6,141292,2,0,25706.864933945883,9
0,1,3.8,67965,1,1,25198.14156878829,25
3,4,2.1,159280,1,0,16078.81959180701,25
3,3,4.2,10510,1,1,32548.69585260059,17
2,2,3.9,175117,0,1,23280.283064811338,11
0,1,4.0,141609,1,1,23828.70041649039,15
3,3,3.7,105935,1,1,21725.28014875638,26
3,0,4.1,69134,0,0,31734.282338134355,6
0,4,3.8,72254,0,0,26704.09649617642,19
0,0,3.1,144854,2,0,22932.250811894453,11
4,1,2.0,114780,0,1,22461.774141132773,9
2,1,4.1,125544,0,0,28394.957512089757,14
0,0,3.9,65587,1,1,32574.74170435552,12
0,1,2.7,82238,2,0,29026.458012185118,6
1,3,1.1,75720,2,0,19873.07483505823,15
0,1,3.2,78004,0,0,20583.0556219742,19
2,4,1.2,22072,1,1,28480.40029906886,17
3,3,4.2,81015,1,0,30072.03170700992,13
3,2,4.4,72746,1,1,24946.713405663508,22
3,1,1.7,176774,1,1,21333.476872345043,9
3,1,3.4,102260,0,1,25860.335499702134,8
1,4,1.3,137129,1,0,22983.346947532464,12
0,4,3.6,128259,2,0,26287.265383770668,21
3,0,2.2,30916,2,1,25288.685982241248,16
4,0,3.4,27268,0,1,39203.51407329373,6
3,0,2.3,175050,1,1,19614.6902010778,16
0,4,1.5,23259,1,1,33670.556257087344,7
3,0,2.4,184655,1,1,24681.69208859138,7
1,0,1.4,79400,1,0,28442.26237800999,6
2,2,3.0,34293,0,0,35473.20148503057,9
2,0,1.1,111581,1,0,25686.357877203704,9
0,1,2.8,7043,0,1,29497.54615666564,17
2,4,4.1,181502,1,1,14742.226323856292,25
2,3,3.9,107009,1,0,22435.13286828753,18
4,2,4.1,38893,2,0,32672.45994803784,13
0,4,4.2,171714,0,1,30749.866610742483,8
0,4,1.4,161940,2,1,18459.902134492582,17
2,1,1.5,26309,0,1,21001.94072224211,23
2,0,2.9,23284,1,0,22457.45922165679,21
2,1,4.1,126801,1,1,25792.77988503244,13
1,0,4.4,113259,0,1,23899.012258394072,23
3,0,1.2,100804,2,1,21646.88669550848,12
1,4,2.2,69000,0,0,25521.107459205068,11
0,0,1.7,84179,0,1,21088.81547304672,20
4,2,3.6,193179,1,0,27437.87334024478,10
3,2,3.2,65049,2,1,32516.988775776837,8
4,2,1.4,29265,0,1,29908.493570740236,8
0,4,2.7,23880,2,0,31582.972761520843,10
0,1,3.4,84579,2,1,25173.40340471428,21
4,3,3.7,131327,0,0,24613.38684843462,16
4,0,1.1,132574,2,1,21249.13676464303,11
4,3,4.1,65424,1,0,28905.18791851654,19
0,1,3.0,70966,1,1,26000.90943567536,16
2,1,3.8,172438,1,0,18600.90519506473,20
4,4,3.8,158497,1,0,32061.750020259577,5
3,2,1.7,183400,2,1,18490.145409903835,8
0,2,1.4,67396,1,0,25966.84564913463,17
1,1,3.5,71694,0,1,27428.21049301553,18
1,4,1.5,136878,1,0,14717.798534521346,23
3,4,4.0,17106,0,1,33193.20910777398,12
2,0,3.5,56731,0,1,28305.723198605465,14
4,2,3.9,75010,1,1,25164.951456710096,25
0,1,2.0,32599,1,1,23445.91250499211,25
4,3,2.1,71326,2,0,28056.427042160187,11
0,2,3.3,75706,0,1,27307.46616196713,18
1,0,1.1,9004,1,1,26520.13514982756,14
4,4,3.5,115018,2,1,24772.45019038796,24
3,1,3.9,182436,1,1,24125.41376691525,18
2,2,2.5,25792,1,1,27756.38856335729,14
3,3,3.7,195984,1,0,28222.52343206645,6
2,0,1.6,54645,0,1,31414.914571820114,5
4,0,2.1,7232,1,0,22818.87668942465,25
4,2,4.4,54766,2,0,27885.18671150585,19
2,3,4.5,120601,1,1,28398.966023555608,18
1,0,2.8,81588,1,1,27991.21249394888,11
0,1,4.3,179614,2,0,19639.643780672908,25
3,0,2.8,5913,2,0,29606.55813092816,21
3,3,2.0,112406,0,0,32946.378001395686,5
3,4,1.9,113693,0,1,19562.10010603887,19
4,4,4.3,93449,0,0,24485.749498157784,22
3,2,1.6,10567,0,0,25819.65802388573,18
0,3,3.0,38379,2,1,23274.52286547603,26
0,0,2.9,319,1,0,29536.759777223782,18
2,0,3.6,90005,1,1,25219.392983726,17
4,4,2.7,110990,1,0,17818.117960774347,23
0,4,2.0,4791,0,1,27268.100489699496,24
1,1,1.6,131401,2,0,21354.115001607566,17
4,4,3.2,61032,2,1,28511.328533321022,12
4,1,3.5,175150,2,1,23116.726015841465,16
0,0,3.0,88662,1,0,30732.80105190751,13
1,1,3.6,21300,0,1,26058.956762448688,21
2,1,1.5,75700,2,0,24137.28042615392,15
0,2,4.1,182017,0,1,21319.42051819694,14
1,4,3.0,55609,2,1,29982.86675225236,10
4,1,1.4,191634,0,1,20951.490772229117,11
1,0,2.6,90045,2,1,18468.303488089983,24
4,3,4.0,61901,0,1,24030.54726178305,25
0,1,4.1,5703,2,1,33514.704599059834,16
0,4,1.9,63115,2,1,24822.650264465177,18
3,2,3.5,27676,0,0,23300.93663814228,24
3,0,1.3,192782,0,0,21208.44974980448,9
3,2,1.1,191149,1,1,22259.987674374755,7
0,3,3.0,121332,0,1,26149.371033372063,12
2,1,3.4,176512,2,1,25653.078618633383,13
0,1,3.8,167995,2,0,17521.355362720617,25
1,4,2.2,29802,0,1,30734.868925583025,10
0,1,1.0,90331,1,0,24653.04942589353,5
0,0,2.7,193976,0,1,14999.948313633242,19
4,3,1.1,191234,2,1,17700.457962430544,17
4,2,1.3,124786,2,1,23901.824940859657,9
4,3,2.1,65169,1,1,28014.714857767805,8
0,1,2.5,68147,0,1,21962.337971809284,19
2,2,2.0,22075,2,0,27050.454763526683,19
1,4,3.0,82015,2,1,18883.221254734344,24
1,3,1.2,9304,2,0,23920.55493637738,24
2,2,1.5,129851,0,0,21909.44474086523,15
2,2,3.4,120729,0,1,27347.9672239703,5
1,2,1.5,59622,1,1,27270.82282975728,10
3,0,3.2,54215,2,1,29496.699750732703,23
4,3,1.2,73973,2,0,28080.18656892695,10
4,2,2.4,108654,1,0,23211.24564162468,13
1,3,1.6,143593,2,0,25453.761364477417,8
2,2,1.4,24028,1,1,21766.77374092624,18
3,4,3.0,39328,1,0,30290.971647787752,6
1,4,4.2,27301,2,0,31400.338660064568,15
4,4,1.2,38015,0,0,22602.55453715815,22
0,1,2.5,36845,0,1,28780.41063784284,16
2,2,3.5,86818,0,0,32809.467449106734,7
0,1,2.6,76394,0,0,22369.8002250704,24
1,3,3.8,175231,2,1,24610.4677458078,6
4,1,1.6,43714,1,1,26892.43672970543,12
3,3,4.4,80722,1,1,32201.26378326245,13
0,3,2.3,25230,2,0,28225.08185321485,16
3,3,2.2,92554,0,0,28636.512064114653,7
4,1,4.1,49262,1,0,28895.35173382063,19
0,2,3.0,41722,2,1,25038.93975955444,23
3,1,2.8,177431,2,0,17298.65543404631,15
3,2,3.5,62796,0,1,28669.982285270788,19
0,2,3.0,171231,2,1,18717.384185026425,21
4,3,1.6,87052,1,0,26262.57291497112,12
3,1,3.4,100808,1,0,21648.308989591565,15
1,2,1.5,136311,2,0,26006.433808281246,11
0,4,3.8,91951,1,1,27189.626712454243,11
2,4,2.3,103424,1,0,32167.2807744579,7
4,1,2.6,158267,0,1,23136.817961155077,7
1,1,1.2,104697,1,0,19299.223372518383,23
3,1,1.0,96299,0,0,19150.62628419968,16
2,2,4.2,165746,0,0,23833.88792825096,14
4,0,1.5,149177,2,1,17307.484798045665,18
1,2,2.6,160811,0,1,18555.311346758783,23
1,2,3.9,163041,1,0,24797.223580858805,15
4,3,4.1,14497,1,0,28071.968356653106,18
4,3,2.8,132888,0,1,24835.50280680622,14
3,2,3.0,118915,2,0,26146.03174701312,11
4,4,3.3,92019,0,1,19857.94423667752,21
3,3,4.4,190326,1,0,21915.635472461978,17
3,2,3.1,109017,1,1,29070.003706986696,14
0,0,3.0,69385,0,0,23730.18745759413,20
1,4,1.1,105153,0,1,21271.276377948187,8
1,1,1.3,33826,0,0,30537.63346549701,8
1,2,3.0,110034,1,1,25643.27963058028,10
0,2,4.3,194437,1,1,24307.00786082489,14
3,4,4.0,84242,1,1,28443.927009183644,14
3,3,4.4,123066,2,1,35170.04046427376,6
4,3,2.8,50100,1,0,22252.433351071624,25
0,3,3.8,125170,1,1,22552.321449320447,17
4,1,3.9,135431,2,1,29590.754791876352,5
0,4,3.3,96205,2,0,24332.19770190073,14
4,4,2.2,12809,2,1,26341.020576671184,18
2,3,2.6,64450,2,0,24517.081465674222,26
1,3,4.0,38428,2,1,34075.536078845515,13
1,0,2.0,72790,2,1,30942.88100638817,11
3,0,4.2,111126,0,1,32302.20019179345,7
2,2,1.8,90321,0,1,25370.1504152862,12
1,2,3.6,2093,0,1,24098.76388335786,26
3,4,3.2,44498,0,1,31714.43557797456,10
2,4,3.6,116251,1,0,26126.727438041304,14
1,1,2.5,40985,2,0,30508.00472928432,12
4,1,4.3,32009,1,1,31255.0400424142,11
0,0,3.2,128515,2,1,26579.61490862016,11
2,2,2.0,17718,2,0,19467.105751971136,25
3,0,3.2,16705,1,0,33239.97518511037,10
2,0,2.0,87618,0,1,24970.603763018407,16
3,2,2.0,62598,1,1,20127.079816822334,19
2,1,2.4,77878,1,1,26726.59549262799,7
3,2,4.0,12239,2,1,24796.089958704462,24
1,3,2.8,46622,2,1,27413.65008271336,15
4,3,3.4,46665,2,1,30171.780774339117,7
1,3,2.4,32274,0,0,32443.280444305463,11
4,4,1.9,142491,1,1,23047.755963016072,13
1,1,4.3,108368,1,1,30879.67915946868,11
1,1,3.1,146075,0,0,24718.15422877333,6
2,4,4.3,161938,1,0,30089.456171056445,10
0,0,1.7,153060,1,0,21046.218880197124,16
3,3,1.5,186966,2,0,19287.00872024147,10
3,3,4.0,108563,0,1,27488.3141505904,8
3,0,3.4,136746,2,0,29310.445553862184,5
4,2,1.7,93103,0,0,16811.987175277452,26
3,2,1.9,66446,2,1,24127.84632888608,15
3,1,3.8,29072,1,0,30735.536007843533,12
2,4,2.6,33717,0,0,32457.02181468817,9
1,1,3.3,157723,0,1,19012.699960941336,13
3,2,2.1,117202,2,1,20199.75558066418,26
0,0,2.3,175363,0,1,22828.08297743224,14
3,1,4.5,122389,1,1,29301.92037659096,12
4,3,1.9,109525,1,1,20035.57885909501,20
4,3,2.8,194422,1,1,24045.001311107168,12
4,0,4.0,4646,2,1,36183.181687812605,7
3,2,1.8,39713,0,0,24557.49103095305,17
2,3,2.5,67936,2,0,29380.6361357122,13
0,3,3.2,175403,1,1,23316.64145009985,21
3,4,2.7,22185,0,0,27848.736353178723,13
2,1,2.6,84263,1,1,31336.44862695357,5
2,2,2.3,52107,0,0,24321.86624424491,15
3,1,3.1,197626,0,1,21321.97936452172,16
3,2,3.2,17563,2,0,32465.487043249,7
2,3,3.3,70729,0,1,34986.64651382352,5
2,4,1.2,15701,1,0,29414.711196077504,8
2,1,3.2,179289,0,1,17028.507338409574,25
3,3,4.3,175682,1,0,32578.13019491117,5
2,2,2.9,181203,2,0,23773.84416177527,7
4,1,3.5,128331,1,1,20953.134388211183,26
3,1,2.9,160482,0,0,19008.993116232603,19
4,3,4.0,99280,1,0,30928.59508768628,13
1,1,4.3,189787,1,0,25684.160897660648,18
3,4,1.6,38665,0,0,20240.93560425007,25
1,4,2.5,15957,1,0,20813.969200477502,22
2,3,2.4,179199,0,1,16963.77587569682,19
2,2,2.4,194661,2,1,26432.22264804351,11
0,3,1.4,46008,1,0,28815.3716136206,5
2,4,3.8,61920,2,1,34546.04230079612,11
1,0,1.1,163947,1,0,17790.078019741508,14
2,0,2.8,113828,1,1,27146.601288212063,7
3,1,3.3,123852,2,0,27965.77515400161,12
2,1,1.7,132698,1,0,17083.781990138225,26
0,0,4.2,90815,1,0,35063.59836264381,5
2,4,3.9,194894,2,0,18065.121117127102,24
1,1,2.6,164714,1,1,20533.02019602912,21
1,3,2.4,38311,0,1,34307.45018860794,5
2,3,1.8,32356,1,1,29780.256125996588,13
1,4,3.6,3809,1,0,26262.431889401723,23
1,1,1.5,174443,1,1,23845.10840555782,9
0,3,3.4,34875,2,1,30013.57771506569,12
3,1,3.9,9465,0,0,30012.547540020983,18
0,1,1.8,197167,0,0,20886.395924753404,9
4,3,4.0,73844,1,0,22311.592178104456,24
0,0,1.1,196322,2,1,12412.864779280546,17
2,3,4.2,86889,2,1,33502.99808500944,10
3,4,1.4,15250,0,0,22633.00091527371,20
2,2,3.3,46023,2,1,29759.370550849813,12
4,3,1.9,101350,1,0,16271.066439802702,26
3,1,3.9,177696,1,1,22401.890926595406,16
1,1,2.8,16427,2,0,30766.84411921527,10
0,3,1.5,164348,1,1,18340.76773888485,22
2,2,3.0,71643,0,1,23236.84170280647,20
4,3,2.4,134511,1,1,29503.558295522016,8
1,2,3.3,78672,2,0,30944.942798394204,12
0,2,4.1,17300,0,0,26386.106017011043,24
1,4,2.4,60289,1,0,28425.17326959236,12
0,1,2.0,148254,0,1,18625.992659194268,22
3,1,1.1,181984,2,0,19284.01440751678,15
1,2,3.0,157981,1,1,28481.88401544286,7
1,1,2.4,19659,1,0,25190.31531302548,22
1,0,2.3,162475,0,0,14567.40380071618,24
3,2,1.6,164658,1,1,19248.87664902724,18
4,1,2.5,10360,1,1,27008.987249084952,18
0,0,4.4,21424,1,0,24150.39001597226,20
1,4,2.0,98035,1,0,19378.806954119093,25
3,1,3.1,48791,2,1,31292.22989752252,6
4,0,3.7,134137,1,1,26276.373846292627,11
0,3,3.6,199867,0,0,20218.692271633387,18
3,3,2.2,12300,2,1,25677.70591326012,14
0,0,3.1,33370,0,0,32809.582954226775,8
1,2,4.0,27209,0,0,34506.13511145146,7
4,2,1.1,20927,0,0,26399.21002822621,10
3,1,2.5,34579,2,1,24863.533650036403,21
4,3,1.8,9032,2,0,20268.0075647344,23
1,2,2.4,93254,2,0,19288.553556780807,26
4,2,2.5,78413,1,1,29520.54782700672,9
4,3,3.6,171803,0,1,27220.34731923514,8
2,4,1.3,113528,2,1,21501.368415097284,18
4,2,2.8,184839,0,0,23688.754765104237,14
0,0,3.0,123916,2,1,22141.504545928503,19
3,1,2.7,72302,2,1,28975.798969017906,14
2,2,3.6,181026,2,0,23978.52966869796,12
3,2,2.3,85757,0,0,22913.228252901445,16
3,4,4.3,156174,1,0,24505.79876320584,15
1,0,2.7,165505,2,0,23158.70517974332,13
1,1,3.0,15932,2,1,27873.75569634464,23
2,2,3.9,25714,2,0,25517.225709627583,26
1,1,2.0,57803,1,1,20262.536256793614,23
1,3,1.3,170815,0,0,24947.77009364076,8
1,2,3.5,133624,0,0,20449.16697730669,18
3,2,2.7,56627,0,1,24734.23923104735,17
2,3,4.1,177059,0,1,21632.618756453976,23
3,4,4.4,79810,2,1,36842.41449307512,7
0,2,2.4,45380,1,0,26492.36252844079,18
3,1,2.5,160322,2,0,22483.67511632766,14
0,0,2.4,199416,1,1,18747.46965961865,15
4,1,2.1,64686,0,1,26061.84231609852,16
4,4,3.7,120321,1,0,26142.685342021625,15
0,0,3.7,45028,2,1,31139.53729197091,9
0,1,2.7,146367,2,1,21963.66246325903,15
3,1,1.2,113141,0,0,21508.05800663881,11
0,3,2.1,55248,2,1,22464.831228761654,22
2,4,2.0,10523,2,0,32297.5289460852,7
4,3,3.8,45530,1,0,33092.26639729553,15
4,0,1.3,13769,2,0,29716.75574861876,6
0,3,3.8,194114,0,1,21532.746490393023,16
1,4,3.3,112035,0,1,26516.61264302641,18
1,2,3.6,175717,2,1,29524.328700915783,9
0,2,2.5,193214,0,1,16288.721954797327,24
2,0,3.4,156629,1,0,26961.423657103594,7
1,2,3.1,79782,1,0,28264.86466545809,10
0,3,3.7,78382,2,1,25294.76637027943,13
2,0,2.6,168157,2,1,13936.613401808594,26
2,4,2.7,181780,1,1,23514.124847007217,10
3,0,3.3,182429,0,1,19616.57826797136,19
2,0,1.4,110939,2,0,19499.865947990053,22
1,1,2.5,144542,2,1,18382.494426341666,22
1,1,4.4,78712,0,0,26412.285406725583,18
0,0,1.1,118643,2,1,16950.538518690646,24
0,2,2.1,107417,0,1,31839.68049094693,8
2,1,2.1,137877,0,1,19671.451665206947,18
4,4,3.2,128256,0,0,29764.97504269076,5
3,3,1.4,193100,0,1,22338.85116242536,9
4,1,3.2,181844,0,0,22664.56321686147,11
2,0,1.3,183176,1,0,14986.715073270769,26
2,2,1.3,101422,0,1,13870.819777764144,25
4,3,3.5,89300,1,0,27219.545965462763,13
3,1,2.1,6630,0,0,28746.05820498289,13
4,2,4.4,124474,2,0,21878.61549050721,26
0,2,1.1,98869,1,1,19813.58740002017,11
1,2,2.6,15701,2,0,33120.4297893222,12
0,0,1.4,145931,0,0,22331.88516990167,12
1,4,2.2,152255,0,1,23532.912890998254,15
2,2,4.5,171510,2,1,30150.571474927743,11
3,3,4.1,97285,0,0,27354.622443325887,13
4,1,1.2,117556,2,0,17533.491998554404,12
3,3,3.0,173316,0,0,25626.932150593664,12
4,0,3.3,15021,0,0,33276.18465965322,8
0,0,1.7,186637,1,1,14301.81300825588,19
0,3,1.5,179115,2,1,14696.84930608102,25
4,4,4.2,64361,0,0,29609.06386426452,25
3,0,4.4,132317,2,1,25466.33700972334,17
4,0,4.5,172083,1,0,22298.082614604635,24
2,3,3.8,10355,2,1,32107.244413061064,10
0,0,3.3,98841,1,1,20784.434469100896,19
2,4,2.2,179764,2,0,17739.680938645983,23
0,4,1.6,180076,2,0,20788.346343616537,13
0,4,1.3,160786,1,0,22629.29433068185,6
1,1,3.4,17198,0,0,32852.53861605079,17
2,4,3.7,66951,0,1,19523.472060686192,26
2,4,3.9,132724,0,1,19203.73984815596,23
1,1,4.2,174697,2,0,17579.414810494927,26
3,2,4.1,18740,2,1,33550.20598535879,10
2,0,4.5,3810,0,1,38740.20941505724,10
4,4,1.9,123743,2,0,19711.245875621524,20
1,0,3.7,147641,2,0,28132.042020800465,7
2,3,3.1,99855,0,1,24667.236464418227,12
3,0,1.9,26783,1,0,29634.11708368306,14
2,1,4.4,121701,2,0,19941.668233065524,25
0,0,4.1,78047,2,1,29748.42741727965,8
4,0,1.4,9471,2,1,26525.93371810565,14
1,0,1.1,110771,2,0,20987.838049310336,16
0,2,3.4,6163,1,1,34551.564799679385,5
3,2,3.1,194159,0,0,23906.08500591521,12
0,3,4.3,62071,2,0,28430.497446038506,17
0,1,1.8,16065,0,1,27902.28787922317,18
3,0,1.3,122323,2,1,20494.071224166142,18
0,0,1.9,117969,1,0,29984.50868072827,7
1,0,1.1,83456,0,0,16142.742148245025,26
2,0,1.1,179420,1,0,21916.94204881119,10
0,2,4.2,19154,2,1,28368.67755637264,15
1,3,2.2,105703,1,0,28398.167386151785,17
2,4,2.4,20229,1,1,26376.443066942516,22
2,1,1.1,52587,2,0,26478.03555555456,9
0,0,1.9,49713,2,1,26796.099578734294,12
1,3,3.8,158069,0,0,20702.503852725466,21
0,4,3.2,21101,2,1,31025.02324620335,20
3,3,3.6,40391,0,0,33977.54900068243,10
2,2,2.6,72723,1,0,22177.2133952293,21
0,4,2.1,190477,1,0,14698.519963751436,19
2,3,2.7,166020,0,0,23991.209271015832,15
1,2,2.1,100264,2,1,29863.897852627248,6
4,3,3.9,184103,2,1,25507.5913945012,13
0,3,2.0,37921,1,1,26436.4611292362,15
0,4,3.3,28460,0,1,28077.76510217848,17
2,2,1.5,152143,1,1,28263.29702295948,5
1,0,3.4,197190,1,0,28997.038478608956,7
3,1,4.2,179354,2,1,26712.54975128324,12
1,4,3.1,91725,0,1,25553.431729679814,20
0,2,3.0,58445,1,1,26549.946328341422,18
3,3,4.4,82208,2,1,25449.62845506619,17
1,2,3.2,185888,1,0,18646.114487980707,17
4,1,1.9,106283,1,0,27278.21380609888,11
2,1,2.0,85779,2,0,24258.46069562238,20
1,0,3.5,3060,2,0,29955.25401661924,22
1,0,3.6,125806,0,1,21601.804620174065,24
4,1,2.1,13731,1,1,33196.04791259053,9
0,4,2.2,77830,0,0,24392.22541100154,16
2,4,4.5,115871,2,0,30449.230673076603,12
1,3,1.4,20719,2,1,30354.68526375977,6
3,0,2.4,178114,1,1,22280.728733700234,7
1,3,1.2,49116,0,0,22673.343944994536,22
2,0,3.9,26325,0,0,33533.998809322286,15
